id,sentence,difficulty
312,Le test de niveau en français est sur le site.,B1
313,Je travaille dans une entreprise de marketing.,B1
314,Nous mangeons souvent au restaurant.,B1
315,Nous mangeons souvent au restaurant.,B1
316,Il étudie l'informatique à l'université.,B1
317,Tu conduis très bien.,B1
318,Je travaille dans une entreprise de marketing.,B1
319,Tu conduis très bien.,B1
320,Tu conduis très bien.,B1
321,Tu conduis très bien.,B1
322,Elle lit des livres en français.,B1
323,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
324,Tu conduis très bien.,B1
325,Nous mangeons souvent au restaurant.,B1
326,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
327,Il aime voyager à travers le monde.,B1
328,Nous mangeons souvent au restaurant.,B1
329,Nous mangeons souvent au restaurant.,B1
330,Ils parlent plusieurs langues.,B1
331,Je joue au tennis tous les week-ends.,B1
332,Il aime voyager à travers le monde.,B1
333,Ils parlent plusieurs langues.,B1
334,Tu conduis très bien.,B1
335,Nous mangeons souvent au restaurant.,B1
336,Je travaille dans une entreprise de marketing.,B1
337,Elle lit des livres en français.,B1
338,Il aime voyager à travers le monde.,B1
339,Le test de niveau en français est sur le site.,B1
340,Elle lit des livres en français.,B1
341,Je joue au tennis tous les week-ends.,B1
342,Il aime voyager à travers le monde.,B1
343,Nous mangeons souvent au restaurant.,B1
344,Le test de niveau en français est sur le site.,B1
345,Il étudie l'informatique à l'université.,B1
346,Je travaille dans une entreprise de marketing.,B1
347,Le test de niveau en français est sur le site.,B1
348,Je joue au tennis tous les week-ends.,B1
349,Ils parlent plusieurs langues.,B1
350,Il aime voyager à travers le monde.,B1
351,Nous mangeons souvent au restaurant.,B1
352,Tu conduis très bien.,B1
353,Elle lit des livres en français.,B1
354,Elle lit des livres en français.,B1
355,Nous mangeons souvent au restaurant.,B1
356,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
357,Ils parlent plusieurs langues.,B1
358,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
359,Je joue au tennis tous les week-ends.,B1
360,Elle lit des livres en français.,B1
361,Il aime voyager à travers le monde.,B1
362,Il aime voyager à travers le monde.,B1
363,Il étudie l'informatique à l'université.,B1
364,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
365,Je travaille dans une entreprise de marketing.,B1
366,Elle lit des livres en français.,B1
367,Il étudie l'informatique à l'université.,B1
368,Elle lit des livres en français.,B1
369,Je travaille dans une entreprise de marketing.,B1
370,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
371,Le test de niveau en français est sur le site.,B1
372,Le test de niveau en français est sur le site.,B1
373,Elle lit des livres en français.,B1
374,Le test de niveau en français est sur le site.,B1
375,Je joue au tennis tous les week-ends.,B1
376,Elle lit des livres en français.,B1
377,Je travaille dans une entreprise de marketing.,B1
378,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
379,Je joue au tennis tous les week-ends.,B1
380,Il aime voyager à travers le monde.,B1
381,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
382,Il aime voyager à travers le monde.,B1
383,Il aime voyager à travers le monde.,B1
384,Je travaille dans une entreprise de marketing.,B1
385,Il étudie l'informatique à l'université.,B1
386,Nous mangeons souvent au restaurant.,B1
387,Le test de niveau en français est sur le site.,B1
388,Je travaille dans une entreprise de marketing.,B1
389,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
390,Tu conduis très bien.,B1
391,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
392,Je joue au tennis tous les week-ends.,B1
393,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
394,Il étudie l'informatique à l'université.,B1
395,Nous mangeons souvent au restaurant.,B1
396,Ils parlent plusieurs langues.,B1
397,Je travaille dans une entreprise de marketing.,B1
398,Je joue au tennis tous les week-ends.,B1
399,Nous mangeons souvent au restaurant.,B1
400,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
401,Il étudie l'informatique à l'université.,B1
402,Ils parlent plusieurs langues.,B1
403,Tu conduis très bien.,B1
404,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
405,Il aime voyager à travers le monde.,B1
406,Je joue au tennis tous les week-ends.,B1
407,Nous mangeons souvent au restaurant.,B1
408,Il aime voyager à travers le monde.,B1
409,Tu conduis très bien.,B1
410,Ils parlent plusieurs langues.,B1
411,Je travaille dans une entreprise de marketing.,B1
412,Nous mangeons souvent au restaurant.,B1
413,Tu conduis très bien.,B1
414,Le test de niveau en français est sur le site.,B1
415,Elle lit des livres en français.,B1
416,Il aime voyager à travers le monde.,B1
417,Il aime voyager à travers le monde.,B1
418,Je joue au tennis tous les week-ends.,B1
419,Je travaille dans une entreprise de marketing.,B1
420,Ils parlent plusieurs langues.,B1
421,Je travaille dans une entreprise de marketing.,B1
422,Il aime voyager à travers le monde.,B1
423,Il aime voyager à travers le monde.,B1
424,Il aime voyager à travers le monde.,B1
425,Elle lit des livres en français.,B1
426,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
427,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
428,Je joue au tennis tous les week-ends.,B1
429,Il étudie l'informatique à l'université.,B1
430,Il aime voyager à travers le monde.,B1
431,Elle lit des livres en français.,B1
432,Il étudie l'informatique à l'université.,B1
433,Elle lit des livres en français.,B1
434,Ils parlent plusieurs langues.,B1
435,Elle lit des livres en français.,B1
436,Le test de niveau en français est sur le site.,B1
437,Je travaille dans une entreprise de marketing.,B1
438,Il étudie l'informatique à l'université.,B1
439,Il étudie l'informatique à l'université.,B1
440,Tu conduis très bien.,B1
441,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
442,Je joue au tennis tous les week-ends.,B1
443,Ils parlent plusieurs langues.,B1
444,Le test de niveau en français est sur le site.,B1
445,Ils parlent plusieurs langues.,B1
446,Il étudie l'informatique à l'université.,B1
447,Nous mangeons souvent au restaurant.,B1
448,Le test de niveau en français est sur le site.,B1
449,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
450,Elle lit des livres en français.,B1
451,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
452,Je joue au tennis tous les week-ends.,B1
453,Le test de niveau en français est sur le site.,B1
454,Le test de niveau en français est sur le site.,B1
455,Nous mangeons souvent au restaurant.,B1
456,Nous mangeons souvent au restaurant.,B1
457,Je joue au tennis tous les week-ends.,B1
458,Il étudie l'informatique à l'université.,B1
459,Je travaille dans une entreprise de marketing.,B1
460,Nous mangeons souvent au restaurant.,B1
461,Nous mangeons souvent au restaurant.,B1
462,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
463,Je joue au tennis tous les week-ends.,B1
464,Il aime voyager à travers le monde.,B1
465,Je travaille dans une entreprise de marketing.,B1
466,Je travaille dans une entreprise de marketing.,B1
467,Tu conduis très bien.,B1
468,Le test de niveau en français est sur le site.,B1
469,Tu conduis très bien.,B1
470,Elle lit des livres en français.,B1
471,Il aime voyager à travers le monde.,B1
472,Tu conduis très bien.,B1
473,Elle lit des livres en français.,B1
474,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
475,Je travaille dans une entreprise de marketing.,B1
476,Je joue au tennis tous les week-ends.,B1
477,Il aime voyager à travers le monde.,B1
478,Il étudie l'informatique à l'université.,B1
479,Il étudie l'informatique à l'université.,B1
480,Tu conduis très bien.,B1
481,Je joue au tennis tous les week-ends.,B1
482,Tu conduis très bien.,B1
483,Ils parlent plusieurs langues.,B1
484,Il aime voyager à travers le monde.,B1
485,Il aime voyager à travers le monde.,B1
486,Ils parlent plusieurs langues.,B1
487,Il étudie l'informatique à l'université.,B1
488,Ils parlent plusieurs langues.,B1
489,Le test de niveau en français est sur le site.,B1
490,Il aime voyager à travers le monde.,B1
491,Le test de niveau en français est sur le site.,B1
492,Je travaille dans une entreprise de marketing.,B1
493,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
494,Il étudie l'informatique à l'université.,B1
495,Le test de niveau en français est sur le site.,B1
496,Je travaille dans une entreprise de marketing.,B1
497,Elle lit des livres en français.,B1
498,Il aime voyager à travers le monde.,B1
499,Je joue au tennis tous les week-ends.,B1
500,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
501,Tu conduis très bien.,B1
502,Ils parlent plusieurs langues.,B1
503,Il aime voyager à travers le monde.,B1
504,Il aime voyager à travers le monde.,B1
505,Je joue au tennis tous les week-ends.,B1
506,Il étudie l'informatique à l'université.,B1
507,Je travaille dans une entreprise de marketing.,B1
508,Ils parlent plusieurs langues.,B1
509,Il aime voyager à travers le monde.,B1
510,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
511,Je travaille dans une entreprise de marketing.,B1
512,Je travaille dans une entreprise de marketing.,B1
513,Je travaille dans une entreprise de marketing.,B1
514,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
515,Elle lit des livres en français.,B1
516,Je joue au tennis tous les week-ends.,B1
517,Il aime voyager à travers le monde.,B1
518,Il étudie l'informatique à l'université.,B1
519,Ils parlent plusieurs langues.,B1
520,Le test de niveau en français est sur le site.,B1
521,Tu conduis très bien.,B1
522,Je joue au tennis tous les week-ends.,B1
523,Ils parlent plusieurs langues.,B1
524,Je travaille dans une entreprise de marketing.,B1
525,Le test de niveau en français est sur le site.,B1
526,Elle lit des livres en français.,B1
527,Nous mangeons souvent au restaurant.,B1
528,Tu conduis très bien.,B1
529,Il étudie l'informatique à l'université.,B1
530,Ils parlent plusieurs langues.,B1
531,Elle lit des livres en français.,B1
532,Le test de niveau en français est sur le site.,B1
533,Elle lit des livres en français.,B1
534,Nous mangeons souvent au restaurant.,B1
535,Je joue au tennis tous les week-ends.,B1
536,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
537,Elle lit des livres en français.,B1
538,Il aime voyager à travers le monde.,B1
539,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
540,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
541,Nous mangeons souvent au restaurant.,B1
542,Il aime voyager à travers le monde.,B1
543,Nous mangeons souvent au restaurant.,B1
544,Je travaille dans une entreprise de marketing.,B1
545,Il étudie l'informatique à l'université.,B1
546,Tu conduis très bien.,B1
547,Nous mangeons souvent au restaurant.,B1
548,Je joue au tennis tous les week-ends.,B1
549,Nous mangeons souvent au restaurant.,B1
550,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
551,Tu conduis très bien.,B1
552,Il aime voyager à travers le monde.,B1
553,Il étudie l'informatique à l'université.,B1
554,Je joue au tennis tous les week-ends.,B1
555,Il étudie l'informatique à l'université.,B1
556,Elle lit des livres en français.,B1
557,Tu conduis très bien.,B1
558,Il étudie l'informatique à l'université.,B1
559,Elle lit des livres en français.,B1
560,Tu conduis très bien.,B1
561,Elle lit des livres en français.,B1
562,Je joue au tennis tous les week-ends.,B1
563,Je travaille dans une entreprise de marketing.,B1
564,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
565,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
566,Je joue au tennis tous les week-ends.,B1
567,Il aime voyager à travers le monde.,B1
568,Je joue au tennis tous les week-ends.,B1
569,Je travaille dans une entreprise de marketing.,B1
570,Elle lit des livres en français.,B1
571,Il étudie l'informatique à l'université.,B1
572,Elle lit des livres en français.,B1
573,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
574,Ils parlent plusieurs langues.,B1
575,Il étudie l'informatique à l'université.,B1
576,Le test de niveau en français est sur le site.,B1
577,Le test de niveau en français est sur le site.,B1
578,Elle lit des livres en français.,B1
579,Je joue au tennis tous les week-ends.,B1
580,Elle lit des livres en français.,B1
581,Le test de niveau en français est sur le site.,B1
582,Nous mangeons souvent au restaurant.,B1
583,Je travaille dans une entreprise de marketing.,B1
584,Ils parlent plusieurs langues.,B1
585,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
586,Elle lit des livres en français.,B1
587,Le test de niveau en français est sur le site.,B1
588,Il étudie l'informatique à l'université.,B1
589,Tu conduis très bien.,B1
590,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
591,Il étudie l'informatique à l'université.,B1
592,Ils parlent plusieurs langues.,B1
593,Le test de niveau en français est sur le site.,B1
594,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
595,Ils parlent plusieurs langues.,B1
596,Ils parlent plusieurs langues.,B1
597,Tu conduis très bien.,B1
598,Elle lit des livres en français.,B1
599,Tu conduis très bien.,B1
600,Il aime voyager à travers le monde.,B1
601,Elle lit des livres en français.,B1
602,Le test de niveau en français est sur le site.,B1
603,Je travaille dans une entreprise de marketing.,B1
604,Je joue au tennis tous les week-ends.,B1
605,Ils parlent plusieurs langues.,B1
606,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
607,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
608,Je joue au tennis tous les week-ends.,B1
609,Je travaille dans une entreprise de marketing.,B1
610,Elle lit des livres en français.,B1
611,Elle lit des livres en français.,B1
612,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
613,Le test de niveau en français est sur le site.,B1
614,Je travaille dans une entreprise de marketing.,B1
615,Je travaille dans une entreprise de marketing.,B1
616,Je joue au tennis tous les week-ends.,B1
617,Elle lit des livres en français.,B1
618,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
619,Nous mangeons souvent au restaurant.,B1
620,Nous mangeons souvent au restaurant.,B1
621,Il aime voyager à travers le monde.,B1
622,Je joue au tennis tous les week-ends.,B1
623,Je travaille dans une entreprise de marketing.,B1
624,Le test de niveau en français est sur le site.,B1
625,Elle lit des livres en français.,B1
626,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
627,Il aime voyager à travers le monde.,B1
628,Nous mangeons souvent au restaurant.,B1
629,Il étudie l'informatique à l'université.,B1
630,Je travaille dans une entreprise de marketing.,B1
631,Je joue au tennis tous les week-ends.,B1
632,Nous mangeons souvent au restaurant.,B1
633,Elle lit des livres en français.,B1
634,Tu conduis très bien.,B1
635,Il aime voyager à travers le monde.,B1
636,Le test de niveau en français est sur le site.,B1
637,Ils parlent plusieurs langues.,B1
638,Le test de niveau en français est sur le site.,B1
639,Tu conduis très bien.,B1
640,Le test de niveau en français est sur le site.,B1
641,Je travaille dans une entreprise de marketing.,B1
642,Ils parlent plusieurs langues.,B1
643,Elle lit des livres en français.,B1
644,Je travaille dans une entreprise de marketing.,B1
645,Nous mangeons souvent au restaurant.,B1
646,Ils parlent plusieurs langues.,B1
647,Je travaille dans une entreprise de marketing.,B1
648,Nous mangeons souvent au restaurant.,B1
649,Tu conduis très bien.,B1
650,Elle lit des livres en français.,B1
651,Elle lit des livres en français.,B1
652,Je travaille dans une entreprise de marketing.,B1
653,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
654,Nous mangeons souvent au restaurant.,B1
655,Tu conduis très bien.,B1
656,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
657,Ils parlent plusieurs langues.,B1
658,Ils parlent plusieurs langues.,B1
659,Nous mangeons souvent au restaurant.,B1
660,Elle lit des livres en français.,B1
661,Le test de niveau en français est sur le site.,B1
662,Ils parlent plusieurs langues.,B1
663,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
664,Tu conduis très bien.,B1
665,Je joue au tennis tous les week-ends.,B1
666,Il aime voyager à travers le monde.,B1
667,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
668,Tu conduis très bien.,B1
669,Ils parlent plusieurs langues.,B1
670,Il aime voyager à travers le monde.,B1
671,Il aime voyager à travers le monde.,B1
672,Ils parlent plusieurs langues.,B1
673,Le test de niveau en français est sur le site.,B1
674,Le test de niveau en français est sur le site.,B1
675,Je travaille dans une entreprise de marketing.,B1
676,Le test de niveau en français est sur le site.,B1
677,Je joue au tennis tous les week-ends.,B1
678,Nous mangeons souvent au restaurant.,B1
679,Je joue au tennis tous les week-ends.,B1
680,Il aime voyager à travers le monde.,B1
681,Tu conduis très bien.,B1
682,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
683,Ils parlent plusieurs langues.,B1
684,Le test de niveau en français est sur le site.,B1
685,Il étudie l'informatique à l'université.,B1
686,Le test de niveau en français est sur le site.,B1
687,Nous mangeons souvent au restaurant.,B1
688,Il aime voyager à travers le monde.,B1
689,Elle lit des livres en français.,B1
690,Je travaille dans une entreprise de marketing.,B1
691,Ils parlent plusieurs langues.,B1
692,Elle lit des livres en français.,B1
693,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
694,Elle lit des livres en français.,B1
695,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
696,Il aime voyager à travers le monde.,B1
697,Elle lit des livres en français.,B1
698,Le test de niveau en français est sur le site.,B1
699,Tu conduis très bien.,B1
700,Nous mangeons souvent au restaurant.,B1
701,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
702,Je travaille dans une entreprise de marketing.,B1
703,Il aime voyager à travers le monde.,B1
704,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
705,Il étudie l'informatique à l'université.,B1
706,Le test de niveau en français est sur le site.,B1
707,Le test de niveau en français est sur le site.,B1
708,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
709,Je joue au tennis tous les week-ends.,B1
710,Il étudie l'informatique à l'université.,B1
711,Nous mangeons souvent au restaurant.,B1
712,Le test de niveau en français est sur le site.,B1
713,Je joue au tennis tous les week-ends.,B1
714,Ils parlent plusieurs langues.,B1
715,Je travaille dans une entreprise de marketing.,B1
716,Il aime voyager à travers le monde.,B1
717,Il aime voyager à travers le monde.,B1
718,Il aime voyager à travers le monde.,B1
719,Tu conduis très bien.,B1
720,Tu conduis très bien.,B1
721,Tu conduis très bien.,B1
722,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
723,Je travaille dans une entreprise de marketing.,B1
724,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
725,Elle lit des livres en français.,B1
726,Il aime voyager à travers le monde.,B1
727,Je travaille dans une entreprise de marketing.,B1
728,Nous mangeons souvent au restaurant.,B1
729,Je joue au tennis tous les week-ends.,B1
730,Il aime voyager à travers le monde.,B1
731,Il étudie l'informatique à l'université.,B1
732,Nous mangeons souvent au restaurant.,B1
733,Le test de niveau en français est sur le site.,B1
734,Je travaille dans une entreprise de marketing.,B1
735,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
736,Elle lit des livres en français.,B1
737,Je travaille dans une entreprise de marketing.,B1
738,Il aime voyager à travers le monde.,B1
739,Je joue au tennis tous les week-ends.,B1
740,Nous mangeons souvent au restaurant.,B1
741,Tu conduis très bien.,B1
742,Ils parlent plusieurs langues.,B1
743,Ils parlent plusieurs langues.,B1
744,Il aime voyager à travers le monde.,B1
745,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
746,Tu conduis très bien.,B1
747,Tu conduis très bien.,B1
748,Le test de niveau en français est sur le site.,B1
749,Elle lit des livres en français.,B1
750,Elle lit des livres en français.,B1
751,Le test de niveau en français est sur le site.,B1
752,Nous mangeons souvent au restaurant.,B1
753,Elle lit des livres en français.,B1
754,Je travaille dans une entreprise de marketing.,B1
755,Il étudie l'informatique à l'université.,B1
756,Elle lit des livres en français.,B1
757,Je travaille dans une entreprise de marketing.,B1
758,Je joue au tennis tous les week-ends.,B1
759,Je joue au tennis tous les week-ends.,B1
760,Je joue au tennis tous les week-ends.,B1
761,Il étudie l'informatique à l'université.,B1
762,Tu conduis très bien.,B1
763,Il aime voyager à travers le monde.,B1
764,Nous mangeons souvent au restaurant.,B1
765,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
766,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
767,Il étudie l'informatique à l'université.,B1
768,Nous mangeons souvent au restaurant.,B1
769,Il aime voyager à travers le monde.,B1
770,Le test de niveau en français est sur le site.,B1
771,Il étudie l'informatique à l'université.,B1
772,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
773,Ils parlent plusieurs langues.,B1
774,Elle lit des livres en français.,B1
775,Je joue au tennis tous les week-ends.,B1
776,Tu conduis très bien.,B1
777,Il aime voyager à travers le monde.,B1
778,Je joue au tennis tous les week-ends.,B1
779,Je joue au tennis tous les week-ends.,B1
780,Elle lit des livres en français.,B1
781,Le test de niveau en français est sur le site.,B1
782,Je joue au tennis tous les week-ends.,B1
783,Il étudie l'informatique à l'université.,B1
784,Le test de niveau en français est sur le site.,B1
785,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
786,Elle lit des livres en français.,B1
787,Nous mangeons souvent au restaurant.,B1
788,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
789,Il aime voyager à travers le monde.,B1
790,Le test de niveau en français est sur le site.,B1
791,Nous mangeons souvent au restaurant.,B1
792,Ils parlent plusieurs langues.,B1
793,Ils parlent plusieurs langues.,B1
794,Ils parlent plusieurs langues.,B1
795,Tu conduis très bien.,B1
796,Nous mangeons souvent au restaurant.,B1
797,Je travaille dans une entreprise de marketing.,B1
798,Ils parlent plusieurs langues.,B1
799,Ils parlent plusieurs langues.,B1
800,Nous mangeons souvent au restaurant.,B1
801,Ils parlent plusieurs langues.,B1
802,Je travaille dans une entreprise de marketing.,B1
803,Ils parlent plusieurs langues.,B1
804,Il aime voyager à travers le monde.,B1
805,Nous mangeons souvent au restaurant.,B1
806,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
807,Il aime voyager à travers le monde.,B1
808,Nous mangeons souvent au restaurant.,B1
809,Il étudie l'informatique à l'université.,B1
810,Nous mangeons souvent au restaurant.,B1
811,Je travaille dans une entreprise de marketing.,B1
812,Il aime voyager à travers le monde.,B1
813,Elle lit des livres en français.,B1
814,Nous mangeons souvent au restaurant.,B1
815,Tu conduis très bien.,B1
816,Tu conduis très bien.,B1
817,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
818,Je joue au tennis tous les week-ends.,B1
819,Le test de niveau en français est sur le site.,B1
820,Il aime voyager à travers le monde.,B1
821,Il aime voyager à travers le monde.,B1
822,Le test de niveau en français est sur le site.,B1
823,Ils parlent plusieurs langues.,B1
824,Le test de niveau en français est sur le site.,B1
825,Il aime voyager à travers le monde.,B1
826,Tu conduis très bien.,B1
827,Nous mangeons souvent au restaurant.,B1
828,Il aime voyager à travers le monde.,B1
829,Il étudie l'informatique à l'université.,B1
830,Je joue au tennis tous les week-ends.,B1
831,Nous mangeons souvent au restaurant.,B1
832,Nous mangeons souvent au restaurant.,B1
833,Il aime voyager à travers le monde.,B1
834,Elle lit des livres en français.,B1
835,Je joue au tennis tous les week-ends.,B1
836,Il étudie l'informatique à l'université.,B1
837,Le test de niveau en français est sur le site.,B1
838,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
839,Elle lit des livres en français.,B1
840,Je joue au tennis tous les week-ends.,B1
841,Tu conduis très bien.,B1
842,Tu conduis très bien.,B1
843,Tu conduis très bien.,B1
844,Ils parlent plusieurs langues.,B1
845,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
846,Nous mangeons souvent au restaurant.,B1
847,Je joue au tennis tous les week-ends.,B1
848,Le test de niveau en français est sur le site.,B1
849,Il aime voyager à travers le monde.,B1
850,Le test de niveau en français est sur le site.,B1
851,Il étudie l'informatique à l'université.,B1
852,Je joue au tennis tous les week-ends.,B1
853,Ils parlent plusieurs langues.,B1
854,Je joue au tennis tous les week-ends.,B1
855,Il étudie l'informatique à l'université.,B1
856,Le test de niveau en français est sur le site.,B1
857,Tu conduis très bien.,B1
858,Il aime voyager à travers le monde.,B1
859,Le test de niveau en français est sur le site.,B1
860,Il aime voyager à travers le monde.,B1
861,Elle lit des livres en français.,B1
862,Ils parlent plusieurs langues.,B1
863,Il étudie l'informatique à l'université.,B1
864,Elle lit des livres en français.,B1
865,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
866,Il aime voyager à travers le monde.,B1
867,Le test de niveau en français est sur le site.,B1
868,Il étudie l'informatique à l'université.,B1
869,Ils parlent plusieurs langues.,B1
870,Ils parlent plusieurs langues.,B1
871,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
872,Elle lit des livres en français.,B1
873,Je joue au tennis tous les week-ends.,B1
874,Je joue au tennis tous les week-ends.,B1
875,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
876,Je joue au tennis tous les week-ends.,B1
877,Ils parlent plusieurs langues.,B1
878,Nous mangeons souvent au restaurant.,B1
879,Nous mangeons souvent au restaurant.,B1
880,Ils parlent plusieurs langues.,B1
881,Nous mangeons souvent au restaurant.,B1
882,Ils parlent plusieurs langues.,B1
883,Je travaille dans une entreprise de marketing.,B1
884,Le test de niveau en français est sur le site.,B1
885,Elle lit des livres en français.,B1
886,Je joue au tennis tous les week-ends.,B1
887,Tu conduis très bien.,B1
888,Je travaille dans une entreprise de marketing.,B1
889,Je joue au tennis tous les week-ends.,B1
890,Je travaille dans une entreprise de marketing.,B1
891,Je joue au tennis tous les week-ends.,B1
892,Ils parlent plusieurs langues.,B1
893,Tu conduis très bien.,B1
894,Le test de niveau en français est sur le site.,B1
895,Il aime voyager à travers le monde.,B1
896,Nous mangeons souvent au restaurant.,B1
897,Il étudie l'informatique à l'université.,B1
898,Il étudie l'informatique à l'université.,B1
899,Tu conduis très bien.,B1
900,Il étudie l'informatique à l'université.,B1
901,Tu conduis très bien.,B1
902,Je joue au tennis tous les week-ends.,B1
903,Je travaille dans une entreprise de marketing.,B1
904,Je travaille dans une entreprise de marketing.,B1
905,Il aime voyager à travers le monde.,B1
906,Je joue au tennis tous les week-ends.,B1
907,Il étudie l'informatique à l'université.,B1
908,Ils parlent plusieurs langues.,B1
909,Il aime voyager à travers le monde.,B1
910,Le test de niveau en français est sur le site.,B1
911,Ils parlent plusieurs langues.,B1
912,Le test de niveau en français est sur le site.,B1
913,Le test de niveau en français est sur le site.,B1
914,Tu conduis très bien.,B1
915,Le test de niveau en français est sur le site.,B1
916,Il étudie l'informatique à l'université.,B1
917,Tu conduis très bien.,B1
918,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
919,Elle lit des livres en français.,B1
920,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
921,Il étudie l'informatique à l'université.,B1
922,Nous mangeons souvent au restaurant.,B1
923,"Le bleu, c'est ma couleur préférée mais je n'aime pas le rouge.",B1
924,Nous mangeons souvent au restaurant.,B1
925,Tu conduis très bien.,B1
926,Je joue au tennis tous les week-ends.,B1
927,Il étudie l'informatique à l'université.,B1
928,Il étudie l'informatique à l'université.,B1
929,Elle lit des livres en français.,B1
930,Le test de niveau en français est sur le site.,B1
931,Il étudie l'informatique à l'université.,B1
932,Tu conduis très bien.,B1
933,Nous mangeons souvent au restaurant.,B1
934,Ils parlent plusieurs langues.,B1
935,Tu conduis très bien.,B1
936,Je travaille dans une entreprise de marketing.,B1
937,Elle lit des livres en français.,B1
938,Tu conduis très bien.,B1
939,Tu conduis très bien.,B1
940,Elle lit des livres en français.,B1
941,Ils parlent plusieurs langues.,B1
942,Elle lit des livres en français.,B1
943,Il aime voyager à travers le monde.,B1
944,Je joue au tennis tous les week-ends.,B1
